address,owner,amount
DYo87YdCDe3Tdm3ebqdRPQiRobhHFFb59vnXvRQcWPPZ,DwYTmFZvXgpk8M9tEAcGA7vqfm7NWiJABMFEviSHLQEN,"1,163.60"
9iE2sRr1dwxebeXmDwgnoM24gVAbcyKwhh44CLXNuSJt,7v7DTfniwtNfpaWuLh1A4mb5C9T6j9jdvbPU7TGLtM8B,"1,098.93"
EvoPp4VxG1t4nSSJax5mt43YghpLDAfaSuBN1ryUjo3d,2jUj9z4yGsyU7UpphqyrpfBFAPEWRTZs3VwisUUJ3JHR,"1,073.82"
Gab99JyBfJ46jeBYm8Ly5wqA4wx9pvchHsaKVGDUsk6w,8MUD88cLUNpiWr3stp5H5NYQpyWEC13oPp1BximRVKD3,"1,054.52"
8YwfAz9Z8Quh5v8RDQutxzrRSYWGsS6Rzea6ajV9iH1S,GmhUpfqR892DcqpsHfceAj1wYGS54N6rjdtqb94Nui9d,"1,039.83"
ENLXyxeNDqHzYrHh9DHyr6vAPsFgZjyM7gkYYqjTbhDo,CBAeK4NzfD7EMGUzpTFJTxMAoUGUrwhRkR1EavX4F4F7,"1,007.82"
psp6M2yDHnPNq8ND1de7Ue7QrpRAt8i2oyzFks6sF3Z,EDjD4FR5oi9h9YTcvUkTr4AR1YkeXzLjszHJwUd6w75T,"1,005.56"
GSenAc92jT4eCMaFHdRs6vGnq8PQyLGPJ6TVkDdkx3YU,4RbxV2AFuF8tbGE5DgR6bRLmfugfAonABk8BURKvJftV,"1,002.43"
3MkyN79U3iQubz7tAnTEqYRUh6DwGLfwgdoPfYmbVr9P,H5zzXCnVT7EPfjJuJYZ9KX4Ce2c1Jocg9cSiZ82gxeCf,"1,000.77"
D7DiCFQRXTEDcbqewMdCmGonfYiWyjkYhRfpFZMDGQpE,HqptpZ4m1EnqnwjZ8htPcPsYyuSmPUFHqUCHGUim1tT,"1,000.00"
HFtSCRVSMK2wvCkgbmVhs8KJ4m11g79CdMgytJXLJ2Uh,CXjsEF1cK1iL2eYjsq4xC6RhmyUXN89LtynFkKUPqP3E,999.80
BFgGoviitmab8iibWv5ZTTtsnoSEw3QahvqeumhAriQA,7RCwMyzPWgSFo8PY1hHBwMew3jfYZbQiSVTxm8ChXk6e,998.50
EbFQmNM9SSiXtpRu5KRXV8SKKVU9tbKGkem13n2dhQMB,E7zB5fr3DZ7XM4qJFyhFMTgRNcuqQ7AciEDWZRHQDVfo,996.67
NCxQwHzuAToyLADnZKd3EDgvf3YiXPmcK1Hc1E71ngi,Cfv3FJMTAcvH6RpxFVPsnKd8JFobTMgQQpWtsizk5JWw,975.75
HsnnVTvubFEpvbPPF4cnBrCfmqoanq3yvkf6m8kwKuTj,792zQZ7PbK63BEMmdgF9hLLs2kA6fsZKnBK5rVzRTkA3,974.24
6KHFdKf1K8fojRKs3BnJhq6s9CkACHY2ahaF7cfwLB4X,ACY5NkpUskxuRJjR7BynrJNqKQ8opwqv2dGmS5UDWZns,945.64
uhxAPDp8yZN1DKZKNXmuMEWbWsimt3778nBrCYuig4V,Tu9n3py3TTskYf5WnGf1shtT5q4HMTd3DbbZn4Utrw8,939.12
C1PwRCpysGCxryYiDFGnVuhuEHgtYTqU7FjrsSdkSfbt,JAJu2BnkBnmMukLT6ZQ1UTFUEasmdUxSoBT1GYZfz7W4,923.69
3rUN6YK5pvqh86Cq2PWv7yxWPsdNuVo9gXHxqeWAKUDK,FjmC1xHFtRLUAhMa4assKzLhhubfUcSyEMNNaciJ2xHM,911.13
3KLmJ5DeD7qdjVXiniQCJk3aRTVNHs2kEzUEdkoRYF1U,3qjwcrLd4R7PuBtBWEM1oNGEFQKfc8F8JK35JMvivZfu,859.73
3HLgh2UNCWtqd6gfNwoP8dAMd7GeXJwESvgEDXttr9Qp,AHGtaGgNACEv1WTDVdY6aTfVjCDKivjpRQczzPr7XG7d,851.57
2zbYemhehSzpGAUjFLQdy3V7QRdWfT3ha5nM24cBtYuu,vjoNRLK2yCDvjot1qahcJhUhGchHoUTo4hp6eiDJ6pL,820.08
CcM4FHRYfusALgWj6D5WTuUZ6jbDFHdg8FjvAJk3PQVM,FKy1QGjox4Gam51np7AuiWMonsuwzN4e5hBKqjNZUxWn,817.19
Hw8pqgL2NCR9Da3xgVAd7SQbaBQPL1f1Erj8FBQ9VBU7,29me7k3xKVXj6m81JDbhcFdQ5KUzb6b1v4btqDThdEei,809.60
6AsqqZcs9wZjEa9NX6STg6Ti5hQd8sdNTFf6eV8Y63oa,4MXABUpQWVtB2t82egURvVjXxQetevPLqLpPjUkfhiyT,805.30
7U9LfcRbgdkXJ54hkHD1Z4kP76v8t382x58vTjaegsqn,2b3k5WAYBWCauWZDWAGZWvLPodDzeVciuz2s9AKumhid,803.24
6hgxJc6RWsQqdgTSvrikeTPsUteXjPuPVvQvoyWUZWAW,A6QRQfYfvARB6vTAG8UMF8DJHMf8oMuqsK7CYFxSSqJg,798.60
2rfioF4RPz264cDig88KTsMnBtxN5B8rwR4H3EMrvEUo,HvxasT7cbp7dVeW4AYHavdXA9LNAngL4axZJb3pcBtk4,793.96
E6NSSTxvEVoTAHQRmnrknWJuHtpagc31suVc7BYX7aBp,bcu5ai6UbQ9pcacNKneurbBi1XSkzt1WBQXaWfVqMY1,790.00
75BBG56swXdEnkztq2fqdmtU4RDysYVopenN3Q2oCgcE,J4BxpnBs8CeKC5dq1Y7ryW2F4JPscAuQdEwcnCTvdzkR,759.63
A6eUY618uUhxVSaEmt4Hxhxh9oZX4VYvcfrKk9j4Zh3A,DztyUoq2Go6nakqxpevgC6w1VEnWxHCBAVdRUnWdCz5L,748.86
7ff29ak5PkUqFZgA31bjXXKPg21gzwyo3a6ddd6Hs4Rm,3PA3RzkECarfdFP5BE7sxHJhZTzGpL1Foc7gmwq8uR3w,745.91
GgXX7NS4rWsAUqGAwH3DGFdkUNECp3YnNF6agcv1nqh6,H8nkJf6QKdgEcqf4tuUfoxBTEFyzbvAMazW9enQiD7L8,744.81
9g5iMKCbmrNqw1tD958WqBYjYgxhMjvS34yUCxf1C8jQ,HnZW162TRx1q7CwMw4pnGHFGKJ73oM1uwgiKxHg3YbPy,727.64
AAJK5cn6LKbntAfCoagqjgGL7kTwpE66SeLTAcArAFC,PwEsMKY7NjgVinnbR8PP9PiC4huKmF7pZfCwu72N32b,726.95
Ecj7Mu35X6v5RRgpbQT8cA7PJmNm4WJWq47798DcVzgu,CgxxKVvGhhKxqRc69vP77HWNGw1r4C6ezLjgPdmddz4s,713.97
HVKih41GFnQ3hJqNg2ZRft25kY9rsHdj3ag8b137Sna7,Exb92hTpMvqmjuPNmk435CQdz5tFzMp7zNk5cTCwxnuB,673.13
67GYKAVSPk9Z7ygFiUWw7htPgnK3Sc4dw4nnHN1PCuBi,3Bb1Q8bz6jTYAfZQM3od9cS3GCBAjKwKThdjFhBAA2DY,667.51
dBF2XifZMf6hoJgNLtkcR5MwK5Wy61D7ruKHq49Mxyu,6GW5rMTYFFJu22m19EshkfjgM7eegBbHtrxJbUiTx7Av,655.01
3ZuBnbM9dsztrvzMeApb8SpyCanPfCC8co7RYU1mp6eP,Di1c2rZg8HEgbbYDdPTy1hvC3nQY3jL8cx7kxUCEAuZ3,633.96
6FsCDFV8vC3gXe8YuPZ541NAPyEyXdHvaZpcvhpCMahF,7LnMGBnBVcw87mShUBoM6mqXPBHa8rsjMKY9P41fgdrk,633.86
3tSAkTMyeTztz7ayvA7NWYPWx5AQnzTcM77NsK7VWEig,4tNpekkFDFq9GeDkpwJwBif8mF7F3tpK4B8ticXJJQH2,627.29
8GsKcDpfADr1SciuxNupCiguLUbF9KBxZWvMcYFg4Hzw,FrW8HzWY4igggvJzcTfbgFGiaqfCh5HL8vTj6QUvwXfv,609.86
7GBrSLgj9ddszxvHodNLQY4dJbAH2rP4jR85DqeoHCjp,Ef2Rh6J9zsEPWzeRURjbaojr98yCCJ7NmFhW6BLguNBo,575.38
E7JMfZBetpCT7c7joJCHw9LgbB8KzJH34FkEsdrTZAus,8khRagNBLFz9wcuWo6XUnzkoEs5qwxgQ88xCSfCE6r28,564.82
319o7iKcSgLwBhDnpHSeatXeGbRBRkCCbdvd5T5xC9Jz,Gc6ryUAXMTAKRTcqeEePSY1Nk7jyZSRzSZfjs9qrwbRg,564.60
B1M9MQzSe1nWzaak6uTpyTVhQ979TZhU4rM9Zph3qUtV,5e1Ww1QHQpa3DV4D8aFxyMwLt5feLrQpqQdd4dwJFhWT,561.53
4CjJ5DXYpCn88mKuddiRf8jJKCCa6zNLMNmg7obxVTkm,7poPNy1ZZgzDcP68aqfF9bCpwwrM9yMyZ6uqG5yF8nZH,545.34
HhB5BwUZQs9ukdtCfkU6Um4YZgNR4TjAcftw3wx6T3pa,DFv9rN9Wm9DaudRiaZ7kQBw2Cg2FyjQBgtFwc521miaZ,529.64
HtfdJBdurcfuabAjdQPzbENmVQzZC33VMJ7Jqxttg2wb,Bt4roPyAWkKQjgZ9PK61GLVw8mEC7ghJv9mAg6SGiiN3,527.68
2riy6y17LYdgocpFF2GneCmLg7LDL4v6YPDXhVrCeoVJ,9oXoyra5GcL3VbxL1Umoneto782kStye8hbeHxG4eH6o,521.80
KYv4h1SZGWZDT6NuzgGdKKyxWoPLAKt2qPAMqg6dpKV,J256pm2vBrmQmwG9HhCT9hNQMDA8f9m1pxbauhYsVGSX,516.38
4jHcbrc85E4n1Le9iQdHp1QUphVQQiChxcKX5w1rE6z4,BLonCVFvKnfGqTBPKDH6JgPhSP28GryPoBmvgMfebDyN,515.88
FRq2v9DkX2mzZ9MCVkgYnHQL7eiBHusG1BtSspvbKY4p,HaeaU42AjMp58syUTZA7obp9Hjzdv8Ztr8VEAYTnvpRp,510.10
7R97ZeNMtbFoJS3JMWFPM4cVTKgbVd5JLFdj4eoJg4v6,CacsGFMkMjg2JcFpURHbX83Ki66hiv4C2GLH6HcG7UBb,505.36
FXMJcT6MHKkNjpa8LTRB3mPV2jqRwidWj1R8yM7W3Coe,2D3iMFsEGFLEuVvSZJetbwfjEok3yEyTX9m8QpDzwauh,500.00
CAyghDXsMD6LnYm8tyencFvaECsGPacKavCvNSfyajaD,76SpvyiYXHQ7hVmwdo16Dn7vVCkYx7Ttx9SQLUi9RV9J,496.84
j8YhXqdtKZ4YS2aFWvntxcEviMoWKzN5YNWhYWKapzb,CHyEJeR4GQ8ZQMuQ6yuoR5u3DBTDWZB2DyUyjxqoSLq6,484.06
4A8wtVcCo59BTLMAzY62hYzH5PpujooBYPan7Lw3nq2E,8f3R1hQuMoNKgbmY23rzFp3e8tRcG9FcW2rwn3Kt6ukN,483.27
7uh8ABUzwje38QQ2oJ5axqnorqug7EyqbinF9ZT3BdYs,5Q8zwRKTkBoUpUbsdqEaQKk6FL5ziuUKQYwvAGcmjMZS,463.91
9SCL7LWG4NbsBiDpsaBdNF7L2jedeNZKU6Hc8aNGXWMz,5KFmtWUMe3FBxbRtXV69yy65FasXtheqaGyjE954Un6T,457.31
9DUikhiHV2vRk4f9ZApP2Y1zRu7ekcWQDxboBgEfMmXi,7NThGCEKMoykTLBGtQcMoM1jz692Ump2Uk9TYw5SHuB4,451.89
CKBnDpDLjNowtJFriYQonh87y3XbtSTgyBTgGEvUgKdz,2kT61Fm55kzrefRTrpnavrfdRnJ6guMnK2yNoKpwYbjq,438.28
7RRvXfWksR9EcCMpVNAPgwASJj4s5pva6CRct7r2Jx37,DuQgjx2HqNjR2D9cgdXn5ALFc3Z7SeZC4ho5JirMe2CW,435.80
obigZG37Gkns9wgTHB5VS4Awv2ePJnoTtTCnGaAARqm,FnhqjvHmcgb6h2hzhLVXcDjxw6X5JZzZXNggZXwTEqa7,432.09
6169owKZaoDo3HQkrfy99gMGxnM58SDmPXQS8wpqn9ki,DtZAiTrBXJ4YEWiJqGUWT46giS58NuTH9KeBACXQtwwA,425.89
Dm9Z2MHUyhtg8mqCQbFt5GP7JhwfHkyQRe9teu8HB3CN,4dfFmtkf681CDQZ6wUdz4EpQnVDpyJ6dWdrCReYoDMHH,403.29
HixokYMpXhjKfSAqmnVRpQ8zScGnSs53vUjpDiMrrmqh,9LYQF6x6mBVsbLv8yaZmRELe2pDVRaeUzhNL82xYyAKu,399.70
BnSscXHpCZWdUkb1LcihxawQXKg8qwCeEdnWyVx6Zh5R,GobdBa1mLa4kV6jhkxXFtezd8nfkSkm9Fy23Vjgn4C1F,386.55
HfUhNXRoSEPakomLw9Hjm13z88gNSgvgA2xg32i89X3B,8oViB859bAQsakUUsABYcTJ5Gtj3stXUyABvEZjoLDJi,376.54
14Cp6epdRmp37kGMTbKQ7nf4r8F8zfSSbYdPzoi1pBo6,BqXrg33wqmh1PHYLdTtSxSdasNLWgScGVTNr66p25kqz,375.45
45TbXybDjXSFUygnpmFWSPX7ZBAbXBKM59B6jiRTM7SA,DtgNkDaxjULVXJuchVFWRFrdBYhoEzqbaVwSTneJptj7,373.21
C1iTBapzAPPXggkZRFLNvjqYRq1PEKFoGon8WD8p3qZi,8W2AHiV5fKomroaNMRFXEuT6DjMCRiiHBbMLrePS2Zmh,372.60
4agVLepSZoqrEXNm65eJyi99b7TfEM33Z2vp1QDQtz61,A9eW4e1v7B1dXHZBphrhGwtWMkfptWB5aPePw7k4S2v7,371.87
BpL3vwk6emGzBpLLUhSQDpq6L4Z392CJbwzvKRLC9yXd,33kecTtMn3jB4o8HXRsxoczmBuKHAzY1wvUBNcfJeywC,337.30
3MsbZ997ZUYsFrXDUjihCiNzdj4gHDpSTKde3naLxexw,EF5qchkpVrxU85bHJcy2hWFyHxRMtoKaPjqm91opeS4X,333.57
Cf5opXJWjrmq6uXWFpELpPRVC9tKJadQEm3j1bNo3nGH,CanABs19gMQp5d5MYWGkBKsSiXanoryJ6KGuMKvTDVxD,324.70
5gwQQT4EtinoT6rN2BR3GGnZB1ZBiNGW6RM8TiUSUTkT,FfLJf23Pp1bk6nPAh3DnfRDCD1jdfExKHemvFeJfYrC8,321.60
8DPur9QtYXJgn9hY6a5o9MBE4mrxuJZpwaURSs3Ppfxw,HavkNAXAPu4Bvc7tkqXHLJDos5QbPcvVZyVpvD4ryemw,310.40
6FzXFdRMg1QDVr3iSvg6GEBsj2EzrqBjf36STD4m5Ess,3KxpcakeP7LbLY1dX3Z7zuctAsEhm2japQpbA8oxh4rr,307.30
6zUQgKgk7BjgHQSxXUBvXpRtTTTb6FtLGzTPyp38M8pp,AnssunRYuUjvmT8DCpaAPhT9HgXsai88YA4RRDJK1Sms,294.57
4sHnduvGsTuAnZmsyTXdDdGgGvkV6C6oTAQzNzB3VYHX,ASKXWpsAcrDfA29zHKqTYMdcqEdTJsAAFYHBXitGSghQ,286.90
EsNgcoaChYZ6Jurn9JmU5wc4cZr9Pe1ZoZQhighHEtPW,GALTjTE7SbeGWfYVGbUCQp82VMGw1uc3UdCpgfEThrNY,286.80
Bn3wRVbLSkGtF5tFntofMCF4vF7QUQNHD4dWfPnFzpoN,95pksWZ6p3sTt5AmLnaF2vPSEHDavuAEGsYK6QfwFspx,277.42
2Cj1fUdzbpj1zhyugfqSeBC97XdJNGafkhPRbutEzxCr,6jh1ZkMaH2exb7bpV7SG2b1ePzVJYi4X5hBnwU6uZzcT,275.14
AoAa8USn8CovEg3nFiwPVn2vGkxYRWQYXZGap3fCrvVh,4ebHTqyLZJFPCkKQfhAYt4rBHGoxofe7xTddQsuSdDRy,274.93
8xYwg8rdLfE7MqbDnh46T1HmwDrTybV4AYWxD2gRbxYq,CYygHqWJsxGdrBmxDwrHNEcWR45QZ52CiZ5LmCWkt1Ri,267.81
A6WzFtyy9cwnFbL9a1QwaZL3TBhHid2FYHLyn342mvh8,4g4ThWuqvcNFHKUeQrLidrMwzUJHtLjcq3C3XSUpS5Dx,267.32
GNjwNDHrkyTKdcK82sjVmyjJgZfyWdnavgrfhHmP4yY3,As9neh5Wuw4kjYwvtnjTF19j5pUo6aytJqe2j6wXziKP,263.43
4Yi5MQ5bbi31FryUVSumUHXwYweXKx5N4FgqNeftXu74,3mu5QwwV6HoEboNEgs3YAVsQsyc7s5TiE7xsc5XWj6zM,261.42
FZgvSMt6TeVwq115o7CP3m9rjaL2Pf7kPcaXpFt2g9PQ,G6mpLurmaixEpu7Nm1yTwLNAGvZ8tDiGSP4odQsBB7d6,261.12
565BMT8gkaU8cEgbViAkwNT253uSvGTr1ypuEU9D3a8Q,C7vdiCNcvncpQUpLoUHCSe92ZG7hcJUVC1ncedWdU7a4,249.94
H1WGeVgeXXCZ8EjEpAhw9tHVnHft2fCafrQLGrUyH6w6,ANeyEK8o4pps19ikGBwwxiquMDNGNiHiVy8W2Jo1fXna,246.03
BYTgBnUPKUrNCP4Aq4RCKGkmiiGByMZvL4hE3My13J9j,6RkC8vnujayKwrzghfSgRGQZb5NFRnEgoiV7KetYBT1t,240.04
4xfxck4LkmQ7TwC9g1EvBVrHStChC5zeKA2pBkEwN722,HqgSepxoUAy435MmgcxP1brCFjGbUpT6GbxAy77dcynX,239.01
8kffZX1zHuQvqsszKkAfxfb9RMkLsGQLA2LYjh2GNCaH,Fru3wT4xgAPfdwxWczjrZ6R2hm9LjJ8oij6HsFUi8cQR,237.95
7Vvv4NgmjzB8FtnJmf85mhWbFw7drtsgknZLtEfFwuJL,ABcQsf4hHeas4SK2RRttSGVwHKz8kvb9giTwdmvRe2WZ,233.90
8o1bF6T9oD5Hpwzj8kcs1NkH4SvjDQG3yccoa1VeRTcV,5W87RfjE375vf8Ds4UJbFTmEUx9NRAUeBSsoPpPight3,233.42
Cn2hTkQ48j4Vyr8NCbdkmbZ52Eh4gyBUYB65WYP7VH5c,BQ6sTTkKncxerpTzMNr6xGo7xBXa2CYJSrsnFC8Zxjyv,225.28
EmRdP22Xi2V1p2kB3brhHTsi45KzybrQv2ANVzmnvYz,5AQ778zpCgFfD4nQyA8Az18mKm8qHqXvSUKVxbFJtSeV,225.00
A6aLpLyRRpxx9H4bZpUXjcJxveLChQMHQ2rWtDb7cYHH,2m3utcSWrcwXywN9K8dQjFZuiZgG6msmEUmhDMVojmGh,224.65
EAVJxtiM8xffX79jKwGYRyqHVhEy8DPfPTza9UyLErav,4fkH2rYoWEdbXn2NsRjvExnKVWaxh6ya4ykQaSJMuCSV,221.00
6BYyiV7TH7QqPgj7sUZaZPc5eydwy11kTWtHjiBq7nwp,J1v9aB4uBLeSLfntttxWXEq7oDpRvFmR97CG5groCC7k,216.99
EVVLGVCb4PmqLknPkQLaprvey2x86CCZi92Sv9LGwEu1,2KvKASnM9dgajQXyDCwwHHtTt6uC3qYYEnxKi6W6V14N,213.48
